variant,variant_status,dataset,in_domain,images,map50,map50_95,precision,recall,ds_status,delta_map50_95,delta_label
baseline,ok,pio_val,True,452,0.8997,0.71024,0.95845,0.88788,ok,0.0,baseline
baseline,ok,broiler_instance_seg,False,200,0.81072,0.53553,0.8193,0.76952,ok,0.0,baseline
baseline,ok,chicken_detection_fum,False,326,0.13375,0.05823,0.56592,0.144,ok,0.0,baseline
mowa_1pass,ok,pio_val,True,452,0.89734,0.6383,0.96001,0.87802,ok,-0.07194,worse
mowa_1pass,ok,broiler_instance_seg,False,200,0.77769,0.45645,0.79172,0.74709,ok,-0.07908,worse
mowa_1pass,ok,chicken_detection_fum,False,326,0.1253,0.0491,0.49998,0.14092,ok,-0.00913,worse
mowa_1pass_ft,ok,pio_val,True,452,0.90817,0.68332,0.96367,0.89086,ok,-0.02692,worse
mowa_1pass_ft,ok,broiler_instance_seg,False,200,0.85578,0.52984,0.8805,0.83261,ok,-0.00569,worse
mowa_1pass_ft,ok,chicken_detection_fum,False,326,0.13493,0.05823,0.50945,0.1496,ok,0.0,neutral
mowa_iter2,ok,pio_val,True,452,0.88507,0.60176,0.95157,0.8695,ok,-0.10848,worse
mowa_iter2,ok,broiler_instance_seg,False,200,0.73211,0.39839,0.76245,0.6962,ok,-0.13714,worse
mowa_iter2,ok,chicken_detection_fum,False,326,0.11697,0.04558,0.47513,0.13565,ok,-0.01265,worse
enhanced,ok,pio_val,True,452,0.88796,0.6274,0.95767,0.8704,ok,-0.08284,worse
enhanced,ok,broiler_instance_seg,False,200,0.73298,0.41774,0.7645,0.70389,ok,-0.11779,worse
enhanced,ok,chicken_detection_fum,False,326,0.12204,0.04812,0.50937,0.13805,ok,-0.01011,worse
tta,ok,pio_val,True,452,0.8989,0.70757,0.95533,0.88131,ok,-0.00267,neutral
tta,ok,broiler_instance_seg,False,200,0.8812,0.64093,0.90438,0.81939,ok,0.1054,better
tta,ok,chicken_detection_fum,False,326,0.13851,0.0601,0.56206,0.14853,ok,0.00187,neutral
